0,1445,0,1094169600
0,743,1,1226880000
0,296,2,1227571200
0,1217,3,1237939200
0,250,4,1261008000
0,23,5,1275868800
0,85,6,1277251200
0,46,7,1277769600
0,999,8,1287532800
0,510,9,1307577600
0,221,10,1307836800
0,755,11,1320537600
0,395,12,1322265600
0,5,13,1334793600
0,818,14,1346716800
0,87,15,1349136000
0,521,16,1350864000
0,245,17,1357948800
0,307,18,1371686400
0,188,19,1373932800
0,106,20,1392681600
0,37,21,1395792000
0,39,22,1395792000
0,154,23,1395792000
0,241,24,1397433600
0,234,25,1400544000
0,213,26,1401753600
1,2112,0,1097452800
1,886,1,1109462400
1,1496,2,1166054400
1,1445,3,1197676800
1,1681,4,1197763200
2,2100,0,1059696000
2,1912,1,1231286400
2,645,2,1248220800
2,518,3,1252800000
2,26,4,1256083200
2,13,5,1266710400
2,6,6,1271894400
2,48,7,1275350400
2,90,8,1288828800
2,1445,9,1293840000
2,1496,10,1293926400
2,180,11,1301702400
2,50,12,1307059200
2,80,13,1309132800
2,2212,14,1316995200
2,108,15,1317513600
2,78,16,1355616000
2,91,17,1355616000
2,22,18,1360108800
2,877,19,1360454400
2,1978,20,1366848000
2,72,21,1378857600
2,194,22,1381276800
2,425,23,1387238400
2,704,24,1389312000
2,597,25,1389312000
2,266,26,1395532800
2,160,27,1396569600
2,656,28,1396569600
2,929,29,1402963200
3,1445,0,1145404800
3,1669,1,1216684800
3,1681,2,1299024000
3,1922,3,1319155200
3,1271,4,1326758400
4,1341,0,1141171200
4,905,1,1235433600
4,1067,2,1240444800
4,961,3,1250294400
4,2268,4,1310947200
4,813,5,1316476800
4,804,6,1318118400
4,1079,7,1329177600
4,285,8,1332633600
4,717,9,1345680000
4,1445,10,1375574400
4,1748,11,1399939200
5,1445,0,1011744000
5,1133,1,1065484800
5,948,2,1088640000
5,2144,3,1181606400
5,698,4,1347321600
6,1445,0,1168992000
6,1669,1,1186358400
6,507,2,1239753600
6,1016,3,1245110400
6,1335,4,1246147200
6,17,5,1248048000
6,1732,6,1258070400
6,33,7,1259193600
6,13,8,1263168000
6,6,9,1263340800
6,1021,10,1263772800
6,564,11,1266883200
6,1895,12,1303171200
6,256,13,1304899200
6,315,14,1305936000
6,1943,15,1309219200
6,815,16,1309392000
6,1402,17,1314316800
6,102,18,1317600000
6,1392,19,1321920000
6,61,20,1323388800
6,244,21,1327449600
6,334,22,1327622400
6,614,23,1337817600
6,1115,24,1342569600
6,182,25,1355443200
6,1355,26,1360108800
6,660,27,1367884800
6,2368,28,1375747200
6,1787,29,1390435200
6,232,30,1392854400
6,586,31,1398124800
6,405,32,1405900800
7,1445,0,1384387200
7,1675,1,1388361600
7,1027,2,1388361600
7,1107,3,1388361600
7,574,4,1404172800
8,896,0,1224547200
8,887,1,1238544000
8,750,2,1238889600
8,63,3,1248825600
8,739,4,1256428800
8,250,5,1259452800
8,9,6,1259539200
8,14,7,1259539200
8,1070,8,1263513600
8,83,9,1265068800
8,780,10,1267488000
8,1545,11,1270598400
8,857,12,1271462400
8,93,13,1277337600
8,1016,14,1283731200
8,59,15,1286064000
8,1317,16,1291680000
8,1895,17,1302048000
8,423,18,1306886400
8,102,19,1316822400
8,426,20,1333065600
8,411,21,1341273600
8,1371,22,1347494400
8,2404,23,1351036800
8,132,24,1356912000
8,785,25,1358812800
8,1116,26,1362182400
8,1197,27,1363564800
8,370,28,1364169600
8,2368,29,1372204800
8,2045,30,1374192000
8,145,31,1380067200
8,185,32,1382659200
8,176,33,1385683200
8,162,34,1388361600
8,352,35,1388448000
8,153,36,1388620800
8,2408,37,1389312000
8,2415,38,1389916800
8,290,39,1391126400
